,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
16_38_21,0.9827943408152751,1.7339658539535148,1.037210031162366,1.7331845265824004,1.3129876136779786,16.257366180419922
16_39_29,0.954625725138294,1.636180017964655,1.015804613505809,1.6233780760714787,1.3048707723617554,17.418598651885986
16_40_30,0.9256541996496431,1.447084313194457,0.9937289891550299,1.4435898772989135,1.2870255947113036,8.95152759552002
16_42_26,0.9416854772740989,1.5257302726441366,1.7506786258820701,1.5343598427622227,1.3276268243789673,38.13534069061279
16_43_17,0.9702103180255063,1.525431841851738,1.0224743492508492,1.5188319336722451,1.236142373085022,12.228337287902832
16_44_30,0.9618153197050802,1.488781016017889,1.0434799889384005,1.4934733545560523,1.2334593534469604,18.28513503074646
16_45_30,0.9393656105368192,1.4624692395622025,1.0257513484036611,1.4564692575351648,1.2633998155593873,15.555680513381958
16_46_53,0.9677967778717441,1.383383310244424,1.13855525929604,1.3808774466694218,1.2509806156158447,28.132165670394897
16_47_48,0.9138320319980952,1.3792199790734458,0.9665078229604566,1.3758373250304496,1.2882182836532592,13.4242582321167
16_48_47,0.9520621613342454,1.3905399681010222,1.011902140179419,1.3885281837975627,1.28057119846344,15.255871534347534
16_49_53,0.9464556840249938,1.3424590142261221,1.0403973495817271,1.3463590625418211,1.2388677597045898,17.699511766433716
16_50_59,0.9465058215676437,1.3740332876775005,0.9890335443348643,1.3759127220205665,1.2382073163986207,16.998380184173584
16_51_59,1.2614399298343704,1.6298636129522623,1.4262475242214965,1.632096495390545,1.2317555904388429,14.561659812927246
16_52_53,1.0038579467784787,1.5449899285142445,1.131685195228724,1.547198120207033,1.2529215335845947,13.513476371765137
16_54_46,0.9813465635263132,1.3230275790327461,1.0316705790874245,1.3249180109016545,1.1541855335235596,10.892642736434937
16_55_40,1.0231453619415973,1.3879497454439498,1.513528377439395,1.3900949730292715,1.2437640190124513,12.975891828536987
16_56_41,0.9866602332282202,1.4019863319636343,1.08025037955728,1.3977720308698163,1.3031920433044433,15.081984519958496
16_57_45,0.9897180717015387,1.505897887545835,1.0449767442466698,1.508129983470296,1.2796641349792481,16.23511242866516
16_58_44,0.9198968237792802,1.3090929343859115,0.960413725368212,1.3136001285836878,1.2346523523330688,17.93391227722168
