,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
16_38_21,1.051609008161285,1.9285669149049403,1.103130844406927,1.9272870463375629,1.3063781023025514,14.51292109489441
16_39_29,1.0041707136880529,1.8090352468059983,1.0475212747149492,1.7908769497709955,1.2942619562149047,18.200438022613525
16_40_30,0.9686611289721949,1.6309194876000077,1.043282803473189,1.625290254485787,1.2922608375549316,8.307901620864868
16_42_26,0.9781509094080457,1.6573390893124746,1.73776031385947,1.6677859847568228,1.332545852661133,40.112603425979614
16_43_17,0.9934479226108487,1.6636329942950783,1.0427972987982919,1.654042715588804,1.2399101257324219,12.317869663238525
16_44_30,0.9674693803250659,1.5941395182595068,1.057520192559605,1.595663497430043,1.2319034576416015,16.82911467552185
16_45_30,0.9580108080194575,1.57155679084287,1.032888906199108,1.5643319186305225,1.2578034400939941,15.909641742706299
16_46_53,0.9863493095408274,1.48644659346968,1.1832453161325924,1.477540931158405,1.2407233953475951,26.543997526168823
16_47_48,0.9530036043862526,1.4792979504746335,1.0110896903294566,1.474728782300925,1.297603392601013,11.641953945159912
16_48_47,0.9730275536832195,1.434381578799204,1.0404361403426992,1.4355325173698472,1.2601001024246217,14.570176839828491
16_49_53,0.9437412615969463,1.361955467102114,1.0381692835232266,1.3608073004305674,1.244204044342041,18.212286233901978
16_50_59,0.9926416774076258,1.4459440276616906,1.0389648623179228,1.4469265980833355,1.2509989261627197,15.06296682357788
16_51_59,1.270024293183169,1.6573925359306532,1.3991449588883407,1.6536207847722306,1.224236297607422,17.923606634140015
16_52_53,1.027004870361305,1.592735619442758,1.1398194853755188,1.5928793176721054,1.2591311931610107,12.747669458389282
16_53_57,0.9399144036127547,1.3397161256310817,1.0422491778370928,1.3411887566550054,1.271017861366272,14.407655239105225
16_54_46,0.9930703165038532,1.3333325218430447,1.0478052353278102,1.339313278622657,1.157513427734375,10.36091160774231
16_55_40,1.0250984573216972,1.4168534551636955,1.5717775534702216,1.4201390095427242,1.236312484741211,13.719764709472656
16_56_41,1.0060135282246454,1.4021161240557773,1.0893374518971919,1.3986279442258556,1.2944875717163087,15.566896200180054
16_57_45,0.9888316987857914,1.4884875982891745,1.037419062279216,1.492155751221052,1.3251662969589233,15.957966327667236
