,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
16_39_29,0.9094319323086496,1.2979298644359483,0.9599512484905431,1.290189857510554,1.2813037872314452,16.948159217834473
16_40_30,0.9191083809601123,1.389431169581965,0.9855800005343299,1.3854288403404027,1.2733661890029908,8.410861492156982
16_42_26,0.9373516630999882,1.3565712824524139,1.7099905643089217,1.3456709116506704,1.3160433053970337,37.93770670890808
16_43_17,0.9822332011468603,1.3868096467043065,1.0206483188320756,1.3765367965138458,1.2265302896499635,11.700027227401733
16_44_30,0.9994656717935997,1.4848853277111362,1.0833656913411294,1.495437518581707,1.2305648565292358,16.276493787765503
16_45_30,0.9650559297423461,1.4576784309253232,1.0410273229645828,1.452037878397385,1.2469886064529419,15.127049207687378
16_46_53,1.0043630012427558,1.4527168516950295,1.2056099198879326,1.4716432931714816,1.2294155836105347,25.090638875961304
16_47_48,0.9481480670141927,1.5010563201725864,0.9990184292418467,1.4976226726035207,1.2814518928527832,11.969265937805176
16_48_47,1.0223080854119677,1.7355027690772074,1.0798890519956303,1.7286541379976674,1.2692650318145753,14.741639137268066
16_49_53,1.0416693746917687,1.6907802404816545,1.1177270494436045,1.6995943171086771,1.2300353288650512,17.79567265510559
16_50_59,0.9974809454187104,1.5556341312316615,1.0380689265666374,1.5622135658665317,1.2177181482315063,15.243158340454102
16_51_59,1.3160161071037955,1.8201895095425753,1.5385719181305613,1.8281428182341009,1.207773494720459,8.762943983078003
16_52_53,1.0716682451780275,1.7858475394476085,1.149836124176299,1.7856772622359307,1.2347323417663574,12.70920443534851
16_53_57,0.9957619618064522,1.7063404212926707,1.1192050689522552,1.7021435641694735,1.2504077911376954,12.73179841041565
16_54_46,1.067096932899187,1.8189896906306409,1.1212847114773032,1.8134392205503642,1.1454280138015747,9.75761890411377
16_55_40,1.1146615411044336,1.870958992123743,1.614107644592261,1.8736393408645846,1.2274741172790526,11.603873014450073
16_56_41,1.0818241515455558,1.9053546466136553,1.1807164479388537,1.9045700223651558,1.2966028928756714,14.267763137817383
16_57_45,1.1026255138895877,2.0263405087817907,1.1589437085898613,2.028332602333413,1.2770306587219238,15.29866099357605
16_58_44,1.0430605511979494,1.8732991852565695,1.112977925959448,1.876816531528801,1.230270218849182,14.403345108032227
