,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
16_38_21,1.1189943968160043,1.7647723385247935,1.2012300521329895,1.7683978220629961,1.3171536127726238,1.2717657089233398
16_39_29,1.00549228790805,1.2960571279718176,1.0757731233422898,1.2911040287134152,1.3608209292093914,1.6849689483642578
16_40_30,0.9193327005375247,1.1264961057296543,0.9164303157641346,1.1271637585242182,1.3031731446584065,0.649667501449585
16_42_26,0.9629861706287216,1.144355043029434,1.0398862928715673,1.1427324666837733,1.2994310061136882,1.6116540431976318
16_43_17,1.0359522509178876,1.4577526728933536,1.0540194836137287,1.4497658570985477,1.3054056962331135,0.7244198322296143
16_44_30,1.0248079659402303,1.4208283662347756,1.1294606390428419,1.421250314708604,1.239991029103597,1.3392577171325684
16_46_53,1.0744564149240137,1.3951045465189524,1.0992067371104284,1.3990553480417434,1.2776304880777996,1.4774389266967773
16_47_48,1.007570500747216,1.21304876773429,1.009901934151764,1.2038370835773462,1.3061460653940837,0.8938319683074951
16_48_47,0.94284983275881,1.2935284288181992,0.9664964168184236,1.2951079820882654,1.2600771586100261,0.5907008647918701
16_49_53,0.9287244759981568,1.2671925791577938,0.9324924481229964,1.2644911384715232,1.2816339333852131,0.9975690841674805
16_50_59,1.1008048710558704,1.4715210310698759,1.1476167163744468,1.4689181638323934,1.3167184193929036,0.860931396484375
16_51_59,1.08508467247467,1.378483547769994,1.1175984003852721,1.3870293230510158,1.2613890171051025,1.2001161575317383
16_52_53,1.1385086488865492,1.5183379596867717,1.1976418856657365,1.5213113927759427,1.3807111581166585,1.2081246376037598
16_53_57,1.0352350596397968,1.2440433173299985,1.0844288872090067,1.245204632421768,1.3413231372833252,0.999995231628418
16_54_46,1.1001125883014369,1.4876089474735592,1.1833036752906303,1.4905841000332054,1.3817432721455891,1.405005931854248
16_55_40,0.8891690302929787,1.2209216734149548,0.9406829783149593,1.2102771828712287,1.350295861562093,2.0108683109283447
16_56_41,1.0142763182325651,1.431496438729012,1.0598093704626224,1.4175395552132175,1.3479031721750896,1.1274797916412354
16_57_45,1.165300387561678,1.8170610408029728,1.326245157549798,1.8191209160703812,1.3737263679504395,0.8529810905456543
16_58_44,1.0028683202392377,1.3197387055865604,1.062895733828182,1.3278566488820323,1.2725625038146973,1.683736801147461
