,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_57_13,1.2576165755163669,1.0861718213561204,1.3520076726674082,1.077822902328796,0.9929762363433838,3.8392581939697266
15_58_14,1.4102996586252303,1.0425488841108372,1.513268082151902,1.0479332514150943,1.038990354537964,3.0532593727111816
15_59_11,1.7933515665216033,1.2762062361987165,1.9533039005420354,1.2836930519331307,1.0176608562469482,2.924168586730957
15_59_52,1.3095317072381953,1.0321814654719867,1.5639372275572614,1.0101145801332527,0.8539509296417236,3.2098238468170166
16_00_38,1.473885286233723,1.1326732810858888,1.5686850055904409,1.125627340073912,0.9354856967926025,1.7147185802459717
16_01_30,1.2701640010010378,1.2435890949333968,1.4759554244225757,1.222791265815775,0.8819127559661866,1.8058288097381592
16_02_35,1.2657931438251262,1.1829373071054003,1.3316066029734568,1.1770798006175207,0.9929869651794434,2.4887640476226807
16_05_08,1.3453578026909725,1.1680129540751385,1.53845223220651,1.1605379234857065,0.8786311626434327,2.3498599529266357
16_05_51,1.5513271004100166,1.5420931306482444,1.650041245613301,1.5411590197444833,1.0381765842437745,2.2025489807128906
16_06_39,1.5658974022829648,1.3894041258386995,1.9810546325787146,1.4121004985551495,0.838971471786499,2.016019105911255
16_07_34,1.1385526024900372,1.6973656329020697,1.4115393388652426,1.6437601040215422,0.9621600151062012,2.258183240890503
16_08_31,1.4870089998690696,1.8672789921335595,1.5993163775280368,1.8635730445791931,1.0134046077728271,2.3159308433532715
16_10_31,1.487922077388303,1.9372838476689813,1.5771504626616841,1.9317429335189815,1.0662887573242188,3.6188597679138184
16_11_21,1.2441785277423412,2.1233636187469456,1.3062207122332945,2.135544957903032,1.1608121871948243,2.9147677421569824
16_12_00,1.4249663417406702,2.0027600207469,1.5344506245731027,2.012418870624388,1.0471581935882568,3.2659518718719482
16_12_49,1.5273593797280927,2.002162969923115,1.8871233745671119,1.9818233506542537,0.8836093425750733,2.6766927242279053
16_13_39,1.2934413567028877,1.9718792453873302,1.4273348967147526,1.9612236993235368,0.9456557273864746,2.4548215866088867
16_20_03,1.711769176315289,2.5255277005185834,1.8043337955350895,2.5367144251167404,1.1574484825134277,2.7084734439849854
16_24_24,1.6674966305340064,2.5570631279229192,1.744504351563397,2.5649577092502147,0.9864979267120362,2.3652873039245605
