,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,1.7385002289671154,1.955127324051417,1.8966018237272326,1.9426410727443333,0.8902363300323486,2.2845299243927
15_57_13,1.5089825410571187,2.0156840459342686,1.5970932790189565,2.0063281317121997,1.0767008304595946,2.705479383468628
15_58_14,1.332921214661864,1.621624012398842,1.4771802835992318,1.6244813313341444,1.0319535732269287,2.856086254119873
15_59_11,1.6282996905267644,1.4267450368183017,1.7886138002714544,1.450333991405546,0.944238805770874,2.619483470916748
15_59_52,1.4482627677459277,1.6431208344142179,1.6131091431047204,1.6457668533669767,0.9990457534790039,3.012831926345825
16_00_38,1.6621373313132166,1.3955347516586738,1.783155594672589,1.3947659771764225,0.9429407119750977,1.6348764896392822
16_01_30,1.2337250167347025,1.355211160022131,1.4168476666384089,1.3720547166948955,0.8816628932952881,2.239976167678833
16_02_35,1.700646265217492,1.3536940522423044,1.784086937741876,1.3519111764663034,0.9096839904785157,1.4206228256225586
16_05_08,1.5664669889481133,1.433666199385538,1.8254790552434499,1.4349082385270517,0.8535699844360352,2.633824110031128
16_05_51,1.4096876829026148,1.0317218416540235,1.5061057330772072,1.0200996363896488,1.0045830249786376,3.6674556732177734
16_06_39,1.6692645643097108,1.016974313920222,1.9394690617336388,1.0517172969451967,0.8350975513458252,1.0373647212982178
16_07_34,1.1896046399768991,1.1341861034330833,1.351199017718567,1.1330940009311126,1.0074002742767334,3.2941277027130127
16_08_31,1.5068203620168823,0.897573725625698,1.6602552697592736,0.9385408711814128,0.8300078868865967,1.2770791053771973
16_10_31,1.2798326668772202,0.821596900068571,1.3321010811075562,0.8146651642821787,1.087242603302002,2.338742971420288
16_11_21,1.1083638594655219,0.8767628211063277,1.297531311201871,0.8955322724955762,0.9366288185119629,2.2028586864471436
16_12_49,1.52792049481437,0.9609818638016384,1.7309093370877575,1.0074441550449464,0.7940392971038819,1.0755994319915771
16_13_39,1.257393242718716,0.9222334093985597,1.4457067764740692,0.935929085015759,0.8384761810302734,2.581206798553467
16_20_03,1.6759561728329624,1.3368917752732952,1.7064666245953672,1.334180917482595,1.106429147720337,1.792858362197876
16_24_24,1.4263082638485338,1.0761048591008426,1.5281161972117887,1.0805588301461813,1.0187697887420655,2.414019823074341
