,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,1.5876409155465387,2.0793544031681446,1.786531314773023,2.0526692513356357,0.8126239776611328,9.315154790878296
15_57_13,1.3897825166337103,2.1165485141537594,1.4411152408348862,2.1120719779322705,0.9295743227005004,11.037972927093506
15_58_14,1.286786937726113,1.9625725213994034,1.4019222608891022,1.9698358879790179,0.9310722827911377,10.756888151168823
15_59_11,1.3073537089248939,1.8870292587666535,1.5436832269480756,1.9097673190379805,0.8715824842453003,10.285063028335571
15_59_52,1.3545044006332676,1.7664914711266644,1.5652611326221555,1.7553619661378483,0.8697003841400146,6.728712797164917
16_00_38,1.4105729080548266,1.5401823045551781,1.523308903559749,1.531180542630371,0.8775419235229492,7.437856674194336
16_01_30,1.4377358049840245,1.5441885638092048,1.6207454778304593,1.5432813258604237,0.8428322315216065,9.576890468597412
16_02_35,1.4142435650565446,1.361317743310972,1.5465805425420986,1.3732399312262702,0.8523183584213256,8.504797220230103
16_05_08,1.4829577136873162,1.2419094886264626,1.686654587319489,1.2429040921072823,0.789109468460083,9.87347936630249
16_05_51,1.4124160385582665,1.1828879169675393,1.570570687919587,1.179387406140897,0.9018778085708619,9.087476968765259
16_06_39,1.5136323328417374,1.1179889148398603,1.811868405175655,1.146754349536986,0.7362822771072388,6.51314115524292
16_07_34,1.1584803381404931,1.0762754816601354,1.4242571870659,1.1263989778020025,0.8625573873519897,14.972726821899414
16_08_31,1.355387278480187,1.0905224150485706,1.462363969557299,1.0955958062744966,0.8406503200531006,10.0367271900177
16_10_31,1.2962505718198536,1.0003184845346962,1.4162786059258186,1.0086389122031305,0.9690013647079467,8.260173797607422
16_11_21,1.17126433353032,1.0203415884660567,1.3368642326722646,1.0464109995468265,0.923575496673584,10.878788232803345
16_12_00,1.4288732265191915,1.0163563191030875,1.5805678205639864,1.0323351532822473,0.8765875577926636,8.994781017303467
16_13_39,1.4580377927799864,0.9724693233064915,1.6403687921074186,0.9896789806411257,0.8214541912078858,9.809829473495483
16_20_03,1.4650260248408247,1.2080061037906211,1.5391889248322619,1.2356467382698606,0.9422935962677002,13.301947355270386
16_24_24,1.3226509528252117,1.327981640408168,1.381649613305041,1.3455025611411597,0.8652766466140747,7.480896711349487
