,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,1.7392874756736239,1.8736315252997573,1.8021347822637581,1.854465752062027,0.838930320739746,1.44620943069458
15_57_13,1.441474908878259,2.0656876596941083,1.5104724943507872,2.067093162240373,1.0748764991760253,2.697131395339966
15_58_14,1.3277815731109803,1.8761824139347096,1.4049244547087372,1.8979496558806221,0.9402676582336426,2.1692192554473877
15_59_11,1.3616803828497748,1.7100104174787798,1.6139577999869985,1.751586514605186,0.8799183368682861,2.5977416038513184
15_59_52,1.5233196532452515,1.724863755191716,1.8879021738185962,1.8015153431462925,0.8932131767272949,3.152122974395752
16_00_38,1.6685710430898593,1.4755078382825526,1.7714062176366556,1.4806025286899347,0.9109534740447998,1.279344081878662
16_01_30,1.5875478333998942,1.5895872911390092,1.7166850773225097,1.6115308806892212,1.0716138362884522,2.48049259185791
16_02_35,1.5032074164042744,1.2772781979669086,1.6701208097147677,1.2988787359561198,0.8833614826202393,1.8062033653259277
16_05_08,1.7412253629252803,1.2994397571816567,1.8826332347269457,1.3009458509954488,0.940608024597168,1.9290409088134766
16_05_51,1.4890345134430911,1.2400913249997325,1.621010153831777,1.2497442092615916,0.9120473384857177,1.5667707920074463
16_06_39,1.8153033129766347,1.2988643378074327,2.1801479678393076,1.3693376660529373,0.8795270919799805,2.358419895172119
16_07_34,1.477282800115741,1.3684498134375374,1.5879547721041678,1.3685912394641688,0.8685418605804444,1.9278795719146729
16_10_31,1.2916132240356772,1.1330562931971764,1.37339223253882,1.1412689168227803,1.0420987129211425,3.8388376235961914
16_11_21,1.4313958724135636,1.2580061798981443,1.6175733078603682,1.2941494432333536,1.0139984130859374,2.6070988178253174
16_12_00,1.51496759106703,1.299883162308482,1.7277500304339288,1.3630696043574766,0.9540512084960937,3.226004123687744
16_12_49,1.3479019328008952,1.342940098193714,1.7545149418575055,1.3971708812312083,0.8219953536987304,2.54561710357666
16_13_39,1.8010471042183458,1.428289783017085,2.06576747256922,1.4575537111510624,0.8957353115081788,1.6686208248138428
16_20_03,1.6683393827165258,1.6978824394301646,1.8006242396121177,1.7561177915295356,1.0326058387756347,4.65619683265686
16_24_24,1.5150854821156396,1.5837290840959017,1.5709670703470167,1.6105645789716176,1.0165109157562255,2.0475735664367676
