,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,1.75452229095029,2.1495627316777406,1.9621167694015815,2.140347351722099,0.885353422164917,1.9755101203918457
15_57_13,1.4130033410440066,2.0698793984132484,1.4855593792711848,2.0563929150133164,1.0588111877441406,2.9253358840942383
15_58_14,1.5754560525663153,1.898330617322196,1.6239844266156511,1.8924931543716308,1.0371580600738526,2.3932132720947266
15_59_11,1.8349933271269994,2.001177842091528,2.0066932366792387,1.972742757273651,0.9399709701538086,3.1262760162353516
15_59_52,1.619165544829575,1.637291320406365,1.7901068472836288,1.634361471018134,0.9768563270568847,1.6457529067993164
16_00_38,1.7471099046872909,1.4706829888490707,1.8306897549260992,1.4415507799933893,0.912264060974121,1.2471120357513428
16_01_30,1.3921236920368298,1.3290230125657176,1.5438285988005613,1.3189036419287685,0.8471320152282715,2.1294918060302734
16_02_35,1.2242528096121699,1.319535636454609,1.2909519893708505,1.3215660049273583,0.9840160369873047,2.41111159324646
16_05_08,1.4137851151609415,1.126047212608576,1.6506474066575396,1.1198716985924484,0.8399637699127197,2.242187738418579
16_05_51,1.4526526988925104,1.2086966563385007,1.4980710350533204,1.2046138349519633,1.1184776306152344,2.8056626319885254
16_06_39,1.430107562881068,0.9975047967238151,1.7183101206758509,0.9854694754310608,0.8108933448791504,2.7176990509033203
16_07_34,1.4174188326794437,0.9751434775064486,1.548172613965268,0.9928465104578784,0.9519262790679932,3.7936153411865234
16_08_31,1.5912091981275494,1.0175694280041823,1.7129521929114409,1.0118906782309514,0.8946854591369628,1.6075525283813477
16_10_31,1.9015293185702646,0.9433269386372773,2.0073061475605645,0.9386920863609108,1.0536936283111573,2.560593366622925
16_11_21,1.148327521253657,0.9806761283119765,1.4839464402239462,1.0118463555730612,0.9006332397460938,2.986443042755127
16_12_00,1.5243764466009992,0.8908606657643002,1.654647765624162,0.896980422765141,0.9875322341918945,2.3423571586608887
16_12_49,1.6488008274728636,0.909304563721201,1.9323354995649666,0.9067376773314936,0.8426619052886963,2.231163501739502
16_20_03,1.6452310656489337,1.302256283455026,1.7235149503102338,1.3286298210992469,1.0660074710845948,3.1978752613067627
16_24_24,1.806896183422468,1.315809802893713,1.877511492174588,1.3294565887953793,0.8573834896087646,1.5317606925964355
