,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,1.6592211243377124,1.181797153110373,1.9144812964270708,1.1360743160202116,0.856403398513794,1.7258503437042236
15_57_13,1.3135105019471847,1.212144451464986,1.371468811011759,1.2066225631739051,1.028095579147339,1.8892011642456055
15_58_14,1.1085002024080666,1.0244446943946266,1.180924883105589,1.027572107812536,1.0939173698425293,4.384281873703003
15_59_52,1.3723268632139782,1.1908602206194725,1.589372024912047,1.150582309139567,0.9717720508575439,1.240203619003296
16_00_38,1.3329622931161835,1.1672642275828142,1.3943383120314428,1.1800782463068684,0.953809118270874,1.5298523902893066
16_01_30,1.4079123732413754,1.2487415961418324,1.5638064443153803,1.252593555084525,0.8894747734069824,2.2308621406555176
16_02_35,1.6421219878549913,1.273989121510559,1.8192888408937955,1.2594282471283988,0.9010284423828125,2.065859079360962
16_05_08,1.6176744911136944,1.3973905366927346,1.796459200076739,1.3990634141982983,0.8710755825042724,1.9754157066345215
16_05_51,1.3698808100229507,1.4014038663810717,1.4230514973500414,1.3991907376137385,1.0427346229553223,1.8579895496368408
16_06_39,1.508455851216612,1.4190198316885154,1.7031212474820714,1.4513143029646247,0.8788721561431885,1.3352794647216797
16_07_34,1.3160682923198384,1.5482371669266066,1.5657661730933794,1.5111365228860822,0.9557558059692383,2.055842638015747
16_08_31,1.5888473081018464,1.6028607790872247,1.8331825677629354,1.5980120732697198,0.9462169647216797,1.6550531387329102
16_10_31,1.4494275849320621,1.5227299145469828,1.5518953353711074,1.5294341933674125,1.0535551071166993,2.043586254119873
16_11_21,1.1751554847069814,1.710805155992215,1.2550272404648235,1.7133844611803792,0.9504891872406006,3.0869674682617188
16_12_00,1.5162274908222968,1.5966280528539245,1.651057417061738,1.6210913535451479,1.0063962459564209,2.6849608421325684
16_12_49,1.7291006088398553,1.9525217943348518,1.8821362483840698,1.943146971377015,0.9219402313232422,1.0805068016052246
16_13_39,1.5243833884544797,2.020060230745389,1.9376674566061143,2.0388404107095983,0.8623909950256348,2.820734977722168
16_20_03,1.785786186434294,2.0959093598127105,1.8311344228168873,2.1084190236096,1.0376075744628905,2.133369207382202
16_24_24,1.2870401977059098,1.8570581345974342,1.3535926169994086,1.8636084484692357,1.0344822406768799,2.4285004138946533
