,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,2.236557831252046,2.3638053066572033,2.358289757857867,2.3705740698680735,0.9007180213928223,1.6140377521514893
15_57_13,1.5662542732834739,2.169341670991315,1.612950180566025,2.1814803753594885,0.9840367317199707,1.7377901077270508
15_58_14,1.7325864873670103,2.161837795447958,1.7859372534012492,2.1783199665789406,1.0168487548828125,2.4138107299804688
15_59_11,1.465189415397468,1.771475757314964,1.6633741317170507,1.8263066939366486,0.9681136131286621,3.2241151332855225
15_59_52,1.8389846962204217,2.0632806986549896,1.941188606759938,2.058808643754501,0.8939878940582275,1.5529594421386719
16_00_38,1.626553109203663,1.7698834138864699,1.7963826028451926,1.7760597772778486,0.9767121791839599,2.42815899848938
16_01_30,1.6340463628546893,1.7775887211359997,1.7759669487746736,1.797516543005336,0.9548494815826416,2.006517171859741
16_02_35,1.656838096223975,1.53964957721446,1.7794210770870862,1.5550839511149246,0.920408058166504,1.9890947341918945
16_05_08,1.4723017850642752,1.498685070498387,1.62084140262225,1.5145353874118863,0.8810978412628174,2.109200954437256
16_05_51,1.6638949288186209,1.3954359276337724,1.7770043411700456,1.408651083887459,1.099609136581421,2.472621202468872
16_06_39,1.5606739344371945,1.1453171202829382,1.8242737006708876,1.1558083015732974,0.7952928066253662,2.334074020385742
16_07_34,1.224945255303555,1.3133009871086119,1.2832203073913022,1.3216953095470794,0.8865955352783204,1.9742493629455566
16_08_31,1.2574051640761796,1.3147081374278013,1.2967941036907462,1.331288416825409,0.9354767799377441,1.8016421794891357
16_10_31,1.1487197416070971,1.221037404296291,1.2082961230558975,1.2320665704955174,1.0700149536132812,3.2864792346954346
16_11_21,1.2503246344578498,1.16946654377576,1.4089027527841282,1.2085357331854658,1.028092336654663,2.781266212463379
16_12_00,1.767877233574139,1.0806946709409826,1.934517663958693,1.0860935978095692,0.8973108291625976,1.3940894603729248
16_12_49,1.3987326217118248,1.126133112796965,1.6451779522839445,1.1588720753010855,0.8116244316101074,2.327565908432007
16_13_39,1.4467465326228321,1.0232885172297357,1.5526158921236504,1.0360418550839632,0.9133098125457764,2.0456480979919434
16_24_24,1.2004255782975912,1.3417141988172854,1.3329571570440069,1.358834292544597,0.9720099449157715,2.0631093978881836
