,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_01_52,1.6142519293142081,3.3344360753363027,3.0454719046423135,3.60222294035811,1.6935115098953246,46.05896496772766
11_11_10,1.9950857133636004,2.1478397247681347,3.2423668332096116,2.6683295039029087,1.1934926748275756,29.304512977600098
11_14_46,1.3479101373198668,2.199888888077489,2.6222590082049417,2.542757279832869,1.0351017951965331,42.528753995895386
11_18_33,1.8632941982844848,2.3657405446437014,6.184679613296727,4.302467946743577,1.158735990524292,15.74665880203247
11_22_06,1.492981311211705,2.925444995229808,3.1612133867337517,3.6378461010286305,1.0264775037765503,40.31047487258911
11_23_54,1.0893731898181855,2.724127529894262,4.099177956305886,4.644393262362697,1.111563467979431,7.92097282409668
11_28_47,2.354776821658332,2.7281279198855692,3.122641742835812,3.301455964886634,1.0040035963058471,19.527962923049927
11_33_37,1.1530526318951384,1.8984879959814502,2.376656233778047,2.4055470725563577,1.1049034118652343,57.41144800186157
11_36_27,1.204247879692591,2.698744616712766,4.5568796406521725,5.197600778831433,1.6771687507629394,25.529410123825073
