,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_11_10,3.5847473527718527,2.300887682735119,4.525021506390246,2.05339095035561,1.7029895782470703,1.0548579692840576
11_14_46,2.0353096512612643,2.251061178129859,5.0787740174629,3.2066546600735237,1.5160284837086995,3.4070446491241455
11_16_17,1.3110591346510143,3.7242525631470484,7.265850487932454,7.732683231376614,1.104919195175171,1.9890344142913818
11_18_33,1.838035994310192,3.706723767953897,2.7699331810143843,4.055339836185911,1.6387104988098145,0.9770779609680176
11_22_06,1.8327882862964378,3.072437712993828,3.308453121272169,3.243929719835374,1.1249404748280842,4.194988012313843
11_23_54,1.3598428739821402,3.374438459346526,2.0363522467222004,4.2539583812464175,1.287267843882243,0.7612316608428955
11_28_47,2.05101825933412,5.245666235963646,3.3669492554001894,5.2165516146577495,1.586811860402425,2.0993480682373047
11_33_37,1.9857193332174694,3.500299091083171,4.667122393780303,4.347026121396542,1.2082696755727131,2.030996561050415
11_36_27,1.4333359568600363,4.233406973463062,2.0647961188899076,3.641260503699953,1.5610788663228352,1.0045709609985352
