,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_01_52,2.772231429321739,3.914035826489579,3.0227436705624027,4.144522412571768,1.3109655380249023,1.1838631629943848
11_11_10,1.3251103212006876,3.7352016667999237,1.5950420864562709,3.6187649302268943,1.2503356138865154,3.393648147583008
11_14_46,1.5933653751246857,2.8783263196204585,3.0248500093675292,3.4416303884422335,1.1409493287404378,1.981238603591919
11_16_17,2.2572468756283377,2.248413463083366,2.7650069930969434,2.3256586203139915,1.3852914969126384,0.8089053630828857
11_18_33,1.5956974725352082,2.097629267221077,9.707035186814538,5.32159456766011,2.03269362449646,1.6068851947784424
11_23_54,1.0137065266055063,4.031181634009874,2.2214220837315573,4.027905595075565,1.4926498730977376,0.7993195056915283
11_28_47,2.5022014669975037,2.620816836609534,4.0335918499462045,3.5244714346987243,1.6139678955078125,0.8228170871734619
11_33_37,1.3374890781756912,2.0065770104943867,2.029764765320639,1.972726185209957,1.5783440272013347,2.1772046089172363
11_36_27,0.9395802756374709,4.276346894610578,2.3461936423177088,5.382010023621118,3.111992518107096,0.9508674144744873
