,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_42_42,1.8735450373328197,2.73288544240217,2.9049084385899064,2.7830496055380305,1.1924995581309001,2.2918026447296143
11_44_22,1.27109313793513,1.5575248296584874,1.6968269930249562,1.5579737688285722,1.008654276529948,1.1193311214447021
11_45_50,1.142122992559338,2.04854045270142,1.3857862206574136,2.0604997913803755,1.1089190642038982,2.6916005611419678
11_50_23,1.8827297595386667,2.454153216202517,2.0708406527811283,2.417335608766197,1.2531208992004395,1.54850172996521
11_53_44,1.6481366664925479,1.3866480009932707,1.8664116757826725,1.3962312579749687,1.2711525758107503,2.706451892852783
11_55_38,1.765131744519843,1.9199422463493567,2.0253975777915554,1.9410781850143695,1.2127048174540203,2.454054594039917
13_18_43,1.6116935726471773,1.8285960669790153,1.8571098312141234,1.8682052575333632,1.0013530254364014,1.1251766681671143
15_17_15,13.536304139958766,77.77897679336611,13.452714856751863,75.98752168729618,1.2271878719329834,1.0866310596466064
15_22_01,3.3635468181182397,25.614069780394754,3.868645724702534,25.807557246251257,0.9965974489847819,1.8388187885284424
