,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_42_42,4.168147500874544,8.473082439824305,5.006297061886936,8.258127759398441,1.0329811573028564,2.2210941314697266
11_44_22,4.420944720396915,5.463326435905406,4.836032488096787,5.438319531994763,0.8669530550638834,0.7190947532653809
11_45_50,4.10129334868833,7.449212211935999,6.560046650853826,7.313212276772538,0.9297872384389242,1.3449313640594482
11_50_23,4.182288707032812,12.597493835747915,4.659110520699168,12.53139448087576,1.103326638539632,1.429121732711792
11_53_44,6.491990167818462,14.712659502637123,6.6625218992361726,14.717964990611453,1.2177531719207764,1.8886816501617432
11_55_38,5.585983556776159,11.402293164209155,5.648938819195324,11.254711891368041,1.2253569761912029,0.7914011478424072
11_58_09,4.232408641616751,11.35163274608749,4.936279549614419,11.249958357093508,1.0238285859425862,2.3448729515075684
13_18_43,3.3943276828261895,8.602255085039841,4.3477242724659755,8.531271391153236,1.0016361077626545,3.1809215545654297
15_17_15,1.608719147555746,6.2646138782420335,2.5383951425931097,6.277265561082669,1.3293836116790771,2.87695050239563
